cafeno,name,r1,r2,r3,r4,r5,r6
18290,소월길그집,드립커피   가격도 좋고 무엇보다 커피 향과 맛 추천입니다.   앞으로도 오랜시간 소월길을 지켜주시면 좋겠어요. ㅎㅎ,맛난커피,보통이에요,최고예요,"드립커피, 더치커피 최고예요.",
18294,파치먼트커피&갤러리,핸드드립 전문 카페에요. 분위기가 참 예쁩니다☺️💕,독특해요. 상상력을 높일 수 있는 커피숍~,,,,
18312,이디야커피 삼각지역점,최고에요,,,,,
18317,스무디킹 서울역사점,사람 많긴 한데 직원분들 진짜 친절하세요!!! ,바쁠때는 이용하면 망인 곳..  스무디 메뉴 시켰는데 500원 추가하면 과일 더 넣어준다 해서 추가했는데 그냥 시킨 사람과 같이 제조해서 덜어줘서 주길래 이거 추가한거 맞나 하는데 맞다 한다.. 차라리 바쁘면 추가를 이야기를 하지 말던가. 500원 추가한 사람은 봉인지... 그리고 뚜껑또 그냥 안 헹구고 그냥 닫고 계속 돌림. ,좋아요,일단 친절 맛은 다 같지만 잘만들어주심,최고예요,
18321,스타벅스 대우재단빌딩점,녹차라떼 먹는데 이게 뭔지 모르겠다  가루가 잘 안풀린건지. 알바분이 초보인건지  오늘 5 시경 남자 알바분이 해주는 라떼....  이전에 늦은시간에 먹었던 라떼는 라떼아트도 해주는 경력이 보이는 라떼였는데   어제부터 이상하게 바뀜. 라떼인데 위에 거품이 중구난방임  오늘도 그래서 약간 걱정됐는데 오늘은 가루가 제대로 풀리지도 않음.   ,보통이에요,아침마다 게이커플 보고있으려니 힘듦. 다른 스벅은 멀어서 여기로 와야 하는데,보통이에요,하얀색 장갑끼고 쓰레기 봉투 안에 넣고 분주히 정리하는 걸  분명 봤는데. 그 장갑끼고 그대로 음료를 만드는걸 봤어요;;,
18322,커피빈 서울스퀘어점,쾌적해요. 지하철 바로 연결되요. 바깥도 보여요. 직원 두분다 친절해요. 계산 키오스크도 있어요. 음악 좋아요. 맛있어요.,맛 으그,3/20까지 리뉴얼공사,별로예요,커피빈에 이런 매장도 있었다. 다양한 종류의 원두와 티를 고를 수 있다.,
18324,자리 서울역점,좋아요,만나의 장소로 최고. 찾기가 편해서....,,,,
18332,피클피클,조금 아쉬워요,양에비해서 가격이 좀 비쌈. 거기다 1인 1음료니 거의 밥값만함. :/ 크로플은 맛있었는데 커피는 그냥 평범? 공간도 넓고 3층에 루프탑까지 건물 전체를 사용하는데 항상 사람 많아서 돌아가는 손님들 많은것 보면 공간 활용을 정말 못함. 긴 큰테이블 많고 긴 소파들 많아서 사람들 많이 못앉는 듯. 2층 3층은 딱히 분위기도 별로인듯.  크로플 유명하다고 왔는...,존맛 ㅜㅜ,"평일 3시 경에 방문했습니다. 직원세명에서 주문 음료 다 하는데, 사람들 윗층에 많은거 뻔한데 안내말 한마디 안해줘서 (음료주문해야 시설 입장 가능이라고 기재되어있음) 일단 주문하고 올라가니 그냥 만석. 서서 기다리면서 아메리카노 2잔이 20분동안 몇번을 1층을 들락날락해서 겨우 받아오니 그 더운날 커피 뽑아놓고 걍 냅둔거였음.. 아오.. 아메리카노 한잔에...",와플존맛,
18335,떼제베,출입구에 직원의 퉁명스런 말투와 기분나쁜 불친절. 절대 가지마세요~,,,,,
18344,만리커피,이 가격에 이런 맛의 커피라니. 두 잔 마셔도 스벅 한 잔 보다 싸다. ,이 가격에 이런 커피를.. 여기 커피 덕분에 스타벅스를 끊었어요. 이 동네에 오래있었으면 좋겠다는. ^^,커피가 너무 맛있어요 ;),창 열어두시는데 해도 들고 힐링되네요 2층도 공간이있어서 혼자시간보내기 너무 좋아요 샌드위치가 두툼하니 맛있어요 차로 와서 커피랑 샌드위치 포장도되고 해가잘들고 배경이너무이뻐서 사진찍고싶네요 ,맛,
18349,카페0.25,깔루아밀크 맛잇게 잘 먹엇어요ㅎㅎ 100호점까지 가즈아~!,최고예요,,,,
18359,카페무자기,완죤죠아용,최고예요,최고예요,조용해서 좋아요,,
18362,리블링스 커피앤플라워,Flower Café,,,,,
18369,전쟁기념관 뮤지엄카페,보통이에요,,,,,
18373,골든피쉬,최고예요,별로예요,분위기 여기만한곳 없습니다 ㅎㅎ 깔끔하고 사장님이 두분이신듯하던데 친절하시고 굿귯,,,
18388,성영태커피하우스,두번째 방문했는데 확실히 치즈케잌 진하고 너무 달지 않고 맛있음. 커피도 적당히 좋음. 재방문 의사있음,주말에만 그런건지 아님 내가 갔던 날만 그런건지 몰라도 알바 혼자서 정신 없어 보였다. 그래서 솔직히 커피는 맛있으리란 기대는 일단 접었다. 알바가 너무 정신 없어해서 솔직히 그냥 나오려다 말았다. 내가 방문한날 목적은 치즈케잌이라. 근데 그 치즈 케잌도 너무 녹았다고 다시 얼려줄까 하셨지만 그냥 달라했고 그럼에도 맛있긴 했다. 치즈케잌 먹으러 재방문 의사...,치즈케익,커피맛 분위기 공간 메뉴구성 가격 모두 너무 좋습니다. 친구랑 와도 좋고 혼자 와도 좋아요! 오래오래 운영해주셨으면 합니다 :),좋아요,
18398,굿뉴스 1호점,"용산도서관 바로 앞에있고, 화장실엔 담배지 말아라, 타자기엔 눈으로만 봐라, 빨대는 장난감이 아니다, 넵킨은 필요한 만큼만 가져가라는 문구가 있는걸로 봐선 주인장이 그 동안 많은 진상 손님에 피곤해져 있는 세월의 풍파를 느낄 수 있는 커피맛은 보통인 카페",보통이에요,커피향이 좋네요..,,,
18412,카페오브,최고예요,,,,,
18434,백미당 대우재단점,백미당 너무좋아요...♡ 낯선사람이 백미당 사준다고 하면 따라갈듯...ㅜ,최고예요,좋아요,,,
18447,영앤도터스,정성들인 커피한잔으로 충분히 행복한곳,조금 아쉬워요,"가야는이유 : 간판없는 스탠딩카페 안가는이유 : 맛은 좀 옅은 편  딥카라멜라떼 : 컵 주변에 묻은 캬라멜을 돌려가며 먹는, 우려한만큼 많이 단 맛은 아니고 다른 집의 스카치라떼와 유사한 느낌, 좀 비싼 편",딥카라멜라떼 좀더 뜨거웠으면..  보통이었어요. 인스타맛집,딥 카라멜 라떼 꼭 마셔야하고 커피도 아이스 맛있습니다 따뜻한공간 자리가 협소한게 약간 아쉬웠어요,
18452,뭉실이산도,이틀 연속으로 방문  아 너무 맛있어요.  후르츠 후르츠  에그에그에그 ~,좋아용,"여기 정말 너무좋아요ㅠㅠ 공간이 예쁘고 아기자기하고 사장님 친절하시고.. 오래 앉아서 일해도 눈치도 안 주시고 무엇보다 딸기산도 블루베리치즈산도 짱맛 그리고 매실에이드를 드십시요,,,존맛입니다,,,",최고예요,맛있고 친절하셔서 또 가보고 싶은 곳~,
18475,작은별,없어진거같아요,,,,,
18492,오츠커피,바닐라라떼 마셨는데 알코올 향이 느껴짐.. 스콘을 먹고 먹어서 그런건가? 싶으면서도.... 이상하고 오묘했음 바닐라 비추 *스콘은 맛있음,아메리카노 별로,자리도 편한 편이고 아인슈페너가 진짜 맛있네요. 직원분들도 친절하시고 가게 소품들도 좋아요,^_^,아메리카노 실망 아인슈페너 좋음 스콘은 평범,
18500,171플러스 용산점,음료도 빵도 맛있었어요!,,,,,
18501,알록에피소드,최고예요,"접근성이 딱히 좋진 않지만 자리가 많고 눈치도안줘서 오랫동안 마음편히 앉아있을 수 있고, 가격이 싸진 않아도 맛있고 배부르다 ㅋㅋㅋㅋㅋ. 주인처럼 보이는분이 와인따라주면서 우리가게가 아마 전국에서 와인을 가장 싸게 제공할거라고 가성비에 자신감을 내비침ㅋㅋ  파스타가 좀 신기했던게 베이스랑 재료를 고르게되어있다. 뭐가맛있냐고 물었더니 모시조개 오일파스타를 추...",친절하고 맛있는 카페!,분위기 짱좋아요!!,,
18508,르팽코,인테리어 예쁘고 아무렇게나 찍어도 사진 잘 나옴 커피는 무난하지만 디저트가 존맛탱구리 뭐먹을지 고민되서 사장님께 여쭤봤더니 엄청 친절하기 잘 알려주심,유자 포레스트랑 블랙티 오렌지 무스 먹었는데 상큼하고 많이 달지 않아 좋았네요. 화이트 톤의 인테리어와 심플한 디자인의 가구들이 깔끔하고 예뻤던...,한층한층 정성이 많이 들어간 무스케이크예요  맛있습니다.,커피만 마시려면 가지 마시길. 디저트류 안시키면 눈치보이고 주인분이 손님 가려가면서 받고 싶어함.,(+) 케이크류 맛있음 사진 찍기 예쁨 (-) 의자 책상 너무 불편. 딱 요즘 인스타카페 책상 의자 높이 동일함. 비싼가격에 비한 맛없는 커피(커피만 마시려면 옆에 바마셀이나 오츠커피 가실길) 베이커리류도 맛은 있는데 가격이 무슨 청담수준;,
18510,빽다방 용산문배점,빨리 나와서 좋아요!!! 최고에요!,커피맛도 좋고 홀도 다른빽다방들에 비해 크고 깨끗한거같음. 직원분들이 주문도 친절하게 잘 받아주셔서  자주 가는편임!!,불친절,최고예요,별 0개 주고싶다. 불친절 쩌네. 맛이 없었으면 안왔을텐데 에휴..,
18511,카페인스테이션,정말 별로네요,좋아요,낮에는 카페 밤에는 바가된다 어두운 분위긴아니다 친구들이랑마시기좋다,,,
18526,캣츠커피,주변에 카페가 없었는데 생겨서 너무 좋아요!! 커피도 너무너무 맛있었습니다!,친환경컵을 사용하고 있어서 인상 깊은 카페였네요~ 밤에 와야 더 이쁠꺼 같기도... 맥주 한잔 하고플때 밤에 방문해볼께요~~~,용산에 커피 맛집이 생겨서 너무 좋습니다!! 분위기도 좋고 커피도 맛있더라구요~~!! 낮엔 커피 저녁엔 맥주 한잔 하기 안성맞춤입니다!,주변에 괜찮은 대형 카페가 없었는데 일단 앉을자리 너무 많아서 좋았어요 커피도 말도안되는 저렴한 가격에 맛도 최고입니다 사운드캣이랑 연결되어있어서 커피마시며 고급이어폰 청음이나 다양한 악기들도 만져볼 수 있어서 입도 눈도 귀도 오감이 즐거운 그런 곳이었네요  데이트 장소로 강력추천드립니다 ㅋㅋ,넓고 쾌적한 공간이어서 좋았습니다. 다양한 음향기기들을 접할 수 있는 공간도 있어서 좋았습니다,
18555,헨스커피,인테리어굿 커피굿 우리동네 명소,,,,,
18572,라떼야커피,좋아요,,,,,
18582,더뜰,넓고 조금 울리긴 하지만 맛있고 양도 많이주셔용 최고,,,,,
18589,컴컴,조금 아쉬워요,신용산역에서 주차 가능한 곳 ㅠㅠㅠㅠㅠ,따뜻한 카페라떼에 우유거품이 없는건 또 처음 받아보네요ㅎㅎㅎ..베이커리카페인데 베이커리도 거의 수분이 빠져 숨이 죽어가보여서 고를게 없었어요. 지하에 갔는데 9시 20분 마감이라길래 알았다고 20분에 나가겠다고 했는데 거의 아이폰 알람인줄 알았네요ㅎ 내려오실때마다 몇분남았는지 계속 얘기해주시고..20분에 1층으로 올라왔는데 10시까지로 알고왔는데 9시 50...,콘센트를 죄다 다막이놔서 커피만 잘먹고 가요 ㅎ,지하 스터디 공간이 넓고 조용해 좋으나 커피맛은 편의점보다 못함. 주문전 커피가 언제 들어왔냐고 물으니 대답안하고 째려보는 남자 알바 ;;,
18592,이디야커피 삼각지점,싸가지너무없음,조금 아쉬워요,오픈시간 한참 지나도록 문도 안엶; ,상당히 불친절한 직원이 있음 ,보통이에요,
18606,에페,"아담하지만 공간 배분도 잘 되어있고, 커피 맛있고 친절하세요. 만족합니다:)",커피가 맛잇어요,최고예요,,,
18639,에이플로트아워,음.. 바닐라라떼 진짜 개맛없어요..... 싸구려 시럽 맛 나요ㅠㅠ 그러나 녹차라떼는 정말 맛있습니다..,최고예요,Nice vibe for study or reading. The Americano is excellent of quality and taste. ,조용하고 편안한 카페. 가격도 착하고 분위기도 깔끔깔끔.,자몽티 아이스 맛있음. 의자도 편함.,
18648,쁘띠아르브르,가격대비 커피가 괜찮은 편,,,,,
18660,베브릿지 숙명여대점,외관으로 봤을 때 자리가 협소한줄 알았더니 아랫층도 있었네요! 음료 종류도 다양하고 직원분께서도 친절하세요.,진짜 기대 안하고 들어왔는데 너무 맛있었습니다 다른 메뉴들 맛보러 반드시 또 올거에요,보통이에요,,,
18684,카페미미미 용산아이파크몰점,커피 맛이 정말 최악이에요 사약먹는것처럼 너무써서 물도 넣고 커피는 다 남기고 왔네요,케이크? 7600원짜리 예뻐서시켰는데 버터와플1개 웨하스1개 롤리폴리한개 생크림한뭉치 올라간 그냥 팍팍한 카스테라예요..,예쁘기는 한데 맛은 아주 별로임. 특히 스테이크는 절대 먹지 말것.,보통이에요,,
18686,무자비,분위기얼쑤,너무맛있고 진짜 너무좋아요 직원분들도 친절하고 존맛탱^^ 서울가면 무조건 가고싶네요  ⌒ ‿ ⌒ ,카페 인테리어도 너무 예쁘고 음료도 맛있어요! 그리고 직원분이 되게 친절해서 좋았어요,분위기 좋아요,무난무난,
18691,그린카페,아이스 코코넛라떼도 맛있지만 이번엔 건강을 위해 생과일 딸바,,,,,
18695,메종드허밍,보통이에요,최고예요,,,,
18702,디어파인 숙대본점,요거트 맛집 ㅊㅊ ,맛있어요! 최고! 짱! ,"존맛이에요 최고예요,,",,,
18708,미스터힐링 숙대입구역점,건물외관과는 다르게 깔끔하고 좋습니다. 사장님도 매우 친절합니다. ,최고예요,깔끔하고 친절함 가볼만함,,,
18726,꽃고비,"별점이 좋아서 갔는데 그냥저냥이었어요. 디저트는 안 먹어봐서 모르겠지만, 음료는 맛에 비해 가격이 좀 비싼 감이 있었어요. 아 좋았던 점은 4층이라서 올라가기 힘들었는데 매장 안에 화장실있는거 그건 좋았어요.  그리고 알바이신지 모르겠는데 일하시는 여자분이 너무 반응도 없고 퉁명스러우셔서 굳이 숙입에 다른 예쁜 카페 놔두고 여기 다시 찾을 일은 없겠다싶었네...","햇빛 아래 고양이와 스콘, 그리고 커피를 마실 수 있어 좋았어요. 사람들이 고양이를 좋아해서 뭔가 고비와 고동이가 큰 스트레스를 받을 것 같아요. 고비고동 아프지않기를 바라요 (ू˃̣̣̣̣̣̣︿˂̣̣̣̣̣̣ ू)",맛있고 고양이들이 너무 귀여워요,공간 작고 아기자기 분위기는 괜찮다 핑,애옹이들이 넘 귀여워용 음료 에이드는 그럭저럭 맛있었어요!,
18730,일미오카페,최고예요,여기서 레모네이드는 무조건 먹어야 함,우유스팀 들어간 음료 다 맛있어요 모카라떼도 정말 맛있습니다!! 사장님 스팀장인이세요,커피 장인 사장님이 운영하세요 진짜 이 가격에 나올 수 없는 고급커피맛입니다 제일 좋아하는 커피집이에요 ,커피 정말 맛있는집 입니다!,
18737,카페쿠바노,아메리카노에  장미얼음줘서  이쁘다 ㅋ 근데 .....커피도 많이주는데 .... 친절하진않음,,,,,
18742,삼각지,건성건성,김밥은 괜찮. 라면은 개선필요.  ,오픈 초기에만 맛있던 집. 갈수록 초심을 잃더니 맛과 서비스 모두 별로.,"아침 9시 오픈인데 9시 50분에 아침 먹으러 들어간 손님한테 자기네 식사시간이니 20분을 기다리라는게... 직원들 복지나 기본권을 무시하는게 아니라 내가 무시당한 기분입니다. 직원분들이 한두분이 아니셨고 아침 9시 오픈이면 아침 식사 가능한 곳 아닌가요?? 아침 먹으러 간 사람에게 본인들 식사해야하니 20분 후에 오라니, 그럴거면 식사하시고 오픈하시죠. ...",노들섬 놀러가는 길에 들렀는데 고추김밥에 든 게 아삭이인지 하나도 안맵고 마녀김밥이랑 맛 차이가 없어요; 엄마가 해준게 더 맛있어요 ㅠㅠ 고봉민김밥이 없나? 동네에서 정녕 여기가 맛집인가요,
18743,감성커피 용산점,사장님이 엄청 친절하세요 ㅎㅎ 달고나 밀크티도 맛있음! 근데 달고나 양이 지점마다 다른건진 몰라도 쪼꼼 아쉽숩니당 ㅠ,사장님 친절하시고 무엇보다 커피맛 그리고 커피나 스무디의 양이 압도적입니다. ㅎㅎ,좋아요,,,
18747,오늘은커피,아메리카노 맛있고 가게도 예쁘고 향기나요. 특히 화장실 깨끗하고 인테리어 넘 예뻐서 감탄했어요 ㅋㅋㅋ 조금 오르막길에 위치해있고 가게가 작은 편이예요. 혼자 책읽고 싶을 때 올 듯! 사장님 엄청 친절하셔요. 아메리카노 2800원 음악은 클래식 나오는편,최고예요,별로예요,구냥 조용하고 뭐..  음료는 기대말고 가세욥,분위기 좋고 사장님 친절해서 좋아요,
18761,한국블루스소사이어티,한국블루스소사이어티의 새로운 센터 '코리아블루스씨어터',,,,,
18771,을의커피,커피도 맛있고 자리도 편하고 사장님도 친절하십니다 :) 다만 노래가 ㅎㅎ.. 좀더 분위기 있는 음악이었으면 좋겠다는 아쉬움이 있습니당!,"근방에서 가장 맘에드는 카페, 커피 생과일주스 다 맛있고 사장님이 정말 친절하십니다",직원들이 매우 친절해요!!ㅜㅜ,거의 매주 가는 을의커피! 큐브라떼 특히 맛있고 다른 음료도 맛있는거 많아요. 사장님 부부도 정말 친절하셔요! ,,
18776,디저트39 디자이너스호텔서울역점,사장님 짱 친절하시고 음료도 디저트도 뭐 하나 부족한 게 없는 곳d 다른 분들 계산할 때 학생이냐 물어보시는 거 보니 학생할인도 되나봐요 저는 학생 아니라서.. 흡ㅋㅋ 자리도 아늑하고 2층까지 올라갈 수고만 조금 하면 넘나 만족스러운 카페를 알게될거에요,좋아요,,,,
18791,엔비,원장님 실력 믿고 10년 넘게 단골이에요 주변 사람들이 먼저 미용실 어디다니냐고 물을 정도 스타일 정말 멋지게 표현해주세요 ,여기 잘해요~~  소문날만 한곳!,우선 제 머리를 소개하자면 숱 엄청 많구 심한곱슬에 머릿카락이 단발정도 길이쯤 오면 갈라져서 그어떤 미용실에서도 환영받기 힘든 저 자신조차 관리하기 힘든 존재인데요. 이름있는 프랜차이즈 미용실도 다니고 여기저기 방황하다  최종적적으로 정착한 미용실입니다.스타일과 실력 거기다 가성비까지. 쌤이 맘변해 문 닫기 전까지 머리는 여기로~!  ,이것 저것하라고 않해서 좋아요. 아닌건 딱 !!!! 아니라고 해주고 추천해주면 다예쁘고 하니깐 단골이 될수밖에 없네요.지금까지도잘다니고 있는데 혹시 이사가실까봐 살짝 걱정되요^^,저한테 맞는 스타일을 추천해주셔서~  미용실에 다녀온 후엔 이쁘다고~  주변에서 어느미용실에서 했냐고 물어봐요~^^  원장님이 항상 밝은 모습으로 맞이해주셔서 좋아요!!!,
18798,오설록 티하우스 용산파크점,한라산 녹차 치즈케이크 맛있음,최근 방문때 에어컨에 문제가 있는지 꽤나 더웠지만 직원분들이 친절하셔서 기분 좋았어요. ,좋아요,분위기 좋음 ,,
18799,빈스쿡,최고예요,커피가 진짜 맛있어요.(특히 남자사장님이 만들어주시는거) 다만 영업시간이 조금 변동이 심해서 허탕 칠 때가 있어용.,아담한 숙대앞 카페~ 아아메 한잔 마시며 잠시 쉬어주기^^ 나름 괜춘하다ㅎㅎ,이곳의 에스프레소 쉐이크 맛있는데 주인장님이 뽑아 주시는거와 직원들이 뽑아주는 맛이 전혀 다르다는게 단점임.,빈스쿡은 라떼에 우유거품을 정말 많이 넣어줌 맛이 좋아 자꾸 오게되는 곳,
18800,더치프레소,커피맛 산미 없는편! 커피 맛있고 클래식 음악 틀어놔서 분위기 있어여! 항상 매장이 매우 깨끗해요. 일하시는 분들도 친절해요. 다 좋은데 저녁 6시에 마감하는거 넘 아쉬워요 ㅠㅠ 자주 가고싶어도 문 빨리 닫아서 못감,,,,,
18825,커피빈 용산아이파크몰점,1점도 아깝다. 아메리카노 주문했는데 완전 탄맛이 나서 놀랐다. 도저히 먹을수가없어서 희석시키려고 뜨거운물좀 달라고햇더니 개인컵내밀었는데도 95도이상의 김이 펄펄나는 물을 풀라스틱컵에 담아서 주네. 환경호르몬쳐먹으라는건가. 원두를 매우높은고온에 연기펄펄나게ㅡ태워서 볶은 저등급원두분말을 사용하고 풀라스틱컵에 김이나는 뜨거운물을 손님에게 먹으라고주는건 기본이 ...,좋아요,,,,
18843,오뜨오트,수제 그릭요거트라 달진 않지만 건강한 맛이예욥!,"가야는이유 : 분위기는 편안, 가볍게 요거트로 한끼 안가는이유 : 아파트 내 위치, 먹기에는 불편, 수제차는 비추  그래놀라요거트볼 : 기본과 과일조합 중 선택, 과일양은 괜찮지만 그래놀라와 요거트양은 아쉽, 꾸덕하지만 그래도 단맛이 살짝 있는 요거트를 맛볼 수 있음 수제차 : 그낭 뜨거운물에 사과, 시나몬 맛이 따로 따로남.. 무언가 빠지거나 잘못된 느낌...",,,,
18861,커피스모키,좋아요,최고예요,,,,
18881,블루베리,친절해용 ㅎㅎ,최고예요,,,,
18892,글로리아진스커피 LS용산타워점,커피가 의외로 맛이 좋았어요,보통이에요,,,,
18897,타짜도로 용산아이파크몰점,보통이에요,,,,,
18915,코피가야,땡모반 완전 동남아 맛 미쵸따리,최고예요,미숫가루 커피 너무 맛있어요 꼭 드세요 두번 드세요 커피도 맛있고 사장님도 친절하시고  갈 때마다 귀여운 강아지들을 만날 수 있는 곳 집에서 가까우면 매일 가고 싶은 곳이에요,언제나 만족감을 주는 곳.,최고예요.   사장님 내외가 짱 친절하시고 부지런히 개발하신 메뉴 하나하나 다 맛있다. 나물이 귀여워!! ,
18925,트래버틴,조금 아쉽네요. 커피는 얼음녹은 아아 맛인데 의자가 넘나 불편해요. 이런게 인스타감성이라면 저는 인스타를 포기하겠습니다,요즘 핫한 장소죠. 커피는 맛있으나 자리는 참 불편합니다. 그냥 멋으로 가는거죠ㅠㅠ 그래도 커피가 맛있으니..... 괜찮아요. 맛으로 리뷰를 쓰니 4점,다 좋은데... 극한의 인더스트리얼 감성이...,지인 추천으로 방문한 북유럽로스팅 카페  산미를 즐기는 분들에게는 취향저격일것입니다.  맛은 분명 좋은 로스터리지만  위치와 분위기를 생각하면 가격이...너무 사악합니다,커피도 맛있고 친절해요,
18929,빈스브루,콜드브루진짜별로,,,,,
18961,블랙드럼 용산점,보통이에요,좋아요,보통이에요,최고예요,,
18972,젠트레이디,최고예요,최고예요,커피 넘 맛있음......,,,
18980,40번지,주인장님도 멋지시고 너무 좋은 핫플레이스~^^,최고예요,좋아요,"오늘의 핸드드립을 시켰는데 커피가 왜 아메리카노보다 더 연한건지?? 핸드드립이 넘 빨리 나와서 이상하다 싶었는데.. 바쁜시간대도 아니었고 사장님포함 직원이 세명 있었는데, 주문 제대로  확인 안한듯 싶군요--;",오늘의 커피가 저렴해서 자주찾아요. 얼음이 많지도 않아서 좋음요,
19014,스타벅스 용산파크타워점,최고예요,,,,,
19019,커피빈 신용산역래미안점,불편,아이파크몰 안에 카페들이 너무 복잡할 때 가기 좋음..!,,,,
19023,커피품격,안쪽자리가 편안한 카페,인테리어 문제로 이슈된 거 알고부터는 안 가요.,그냥 커피맛보통 ! ,밑에 리뷰보니 놀랍네요ㅠ 친절하고 조용한 곳이었습니다. ,따뜻한 분위기에 너무 예쁘고 친절한데다 커피도 너무 좋았는데 인테리어/메뉴 도용으로 이슈가 있는 카페였네요. 오랜만에 괜찮은 카페를 찾았다 싶었는데 착잡하네요. 후기는 후기지만 어쨌든 잘못한 건 잘못한겁니다 ㅠㅠ,
19024,빌리엔젤 용산아이파크몰점,영업 10시반부터랍니다 ㅡㅡ 인터넷에 게시한건 변경하든지 해야지 10시라 되어있길래 기껏 역에서 찾아갔드만 포장만 해가는것도 안된다하고... 돌아가는데 기분 안좋더라구요,정말 최악의 맛이네요! 제일 인기많은 메뉴 시켰는데 도대체 왜 인기있는지 1도 모르겠네요^__^ 7800원 값에 식물성 크림에 인위적인 과일향까지 색소만 넣은게 아니라 색깔별로 더러운 맛이 납니다. 고작 한조각을 두명이서 다 못먹었네요.,맛은 있는데 비싸네유ㅠㅠ,좋아요^_^,(라임뉴욕치즈케이크)는... 진짜 맛이 없어요...ㅠ셔요ㅠ (레인보우 크레이프)는 첫 맛은 오옷...???!! 무지개??이러다가 계속 먹다 보면 질려요 궁금하게 생겨서 먹었는데 왜 샀지ㅎㅎ (밀크 크레이프)는 맛있었는데 너무 달아서 아메리카노랑 먹으면 괜찮을 것 같아요 (티라미수 크레이프)는... 치즈 케이크처럼 별로 (자몽케이크)는 질리지 않아요 상큼해서...,
19040,올모스트홈카페,"먼저 사람들이 많이 없고 조용해서 Good! 다른카페들과 비교했을때 커피 크기 및 가격, 맛 모두 Good! (시끄러운 단체손님들 없어서 좋았어요~)  다만 의자가 좀 불편하구요. 등받이 의자 많이 두시면 좋을것같습니다.^^",사장님이 친절하시고 가격싸고 분위기도 너무 좋아요,,,,
19041,카페마마스 용산아이파크몰점,직원 교육이 절실히 필요한 지점,마마스 정말 좋아하는데 역시 맛있네요 리코타치즈 샐러드는 빵 리필도 많이 해줘서 굳 ㅎㅎ,치즈토마토파니니(?)랑 리코다 샐러드 먹었는데 리코타 양이 엄청 많았고 발사믹도 더 주셔서 좋았음 딸기쥬스는 생딸기 먹는 느낌..? 달달한 느낌보다는 정말 생딸기를 베어먹은 느낌이었는데 지인은 단 딸기쥬스를 원했어서 참고하세용. 케일청포도쥬스는 존맛탱~ (쥬스 가격은 있는 편이지만 생과일 채소를 써서 그런듯),"배나온 계산하는 남직원 진짜..눈갱..제발 옷좀 맞는거 입고 , 고객이랑 얘기하는 포지션이면 웅얼웅얼거리지말고 똑바로 말해요. 브런치 집이라 여성고객이 많은 곳인데 그런모습으로 서비스직을 한다는거 자체가웃김",콥샐러드... 닭가슴살에서 잡내가 진동함.,
19049,할리스커피 용산아이파크몰영풍문고점,아..사람들 왜 1점 준지 알겠음 노란 염색한 여자분 자기 할말만 하고 웃지도 않음 무표정..ㅋㅋ 제발 이 후기보면 가지 마세요 돈도 버리고 기분도 버리고 일석이조?ㅋㅋ,"영풍문고 올때마다 커피마시는데,왜 이렇게 불친절한지! 매장 관리는 안하나? 다신 마시지말자 할리스! 최악의 서비스",염색한 태국인알바 인상 너무 무섭고 체인점에서 이렇게 관리 안되는 매장 처음봤어요 똥씹은건지 똥마려운건지 살벌하네 진짜,,,
19068,엔제리너스 용산아이파크몰점,보통이에요,조금 아쉬워요,직원 친절은 최악. 직원때문에 덩달아 짜증내게되는 카페.,정말커피맛이 짱입니다직원분들이 한결같이 친절하고 상냥해서  오늘기분 너무좋아요ㅎ.ㅎ,모처럼.아이파크를가는데.엔젠리너슥가있길래.커피마시러들어갔어요커피한잔에.기분좋아진하루.였답니다직원분들이.친절하게.해주셔서.기분좋은시간이였습니다,
19079,메가바이트,분위기 친절도는 좋은데 햄버거 너무 맛도 없이 양만 많고 커피도 노맛 ,좋아요,,,,
19102,보스커피 용산점,보통이에요,최고예요,,,,
19110,커피나라,보통이에요,커피맛이 물맛,,,,
19124,그린커피코리아,그린커피,에스프레소 맛있어요,,,,
19130,101커피,아기자기 이태원동네느낌쓰,,,,,
19132,더치앤빈 신용산점,싸이즈업무료 헤헷,최고~!,최고예요,,,
19212,뉴오리진 동부이촌점,"매장 너무 예뻐요!!!! 위치, 맛, 서비스 모두 만족합니다!!",매우 만족.  분위기와 색다른 브런치. 맛까지 모두 완벽,고급스러운 브런치 맛집! 재료 하나하나 신경 써서 만든 부분이 마음에 들고 친한 지인들이랑 자주 오고 싶은 곳,가장 뉴오리진스러운 매장! 신규 메뉴 음료들 너무 맛있어욥,"정말,,,,,,,,,,,,,,갠지스 강 건너는 맛입니다,,,,,,절대 이 두 메뉴는(특히 갠지스 차이티 어쩌고) 시키지마세요",
19213,폴바셋 동부이촌동점,친절하고 음료가 짱입니다~ 주차가 주말은 무료더군요ㅎㅎㅎ,좋아요,조금 아쉬워요,조금 아쉬워요,,
